b_detail_plan_materials_expanded_creatures

[OBJECT:BODY_DETAIL_PLAN]

-Egg

[BODY_DETAIL_PLAN:DF_MATERIAL_EXPANDED_EGG_LEATHERY_ARCHAIC_MATERIALS]
	[ADD_MATERIAL:EGGSHELL:DF_MATERIAL_EXPANDED_EGGSHELL_LEATHERY_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:EGG_WHITE:DF_MATERIAL_EXPANDED_EGG_WHITE_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:EGG_YOLK:DF_MATERIAL_EXPANDED_EGG_YOLK_ARCHAIC_TEMPLATE]

[BODY_DETAIL_PLAN:DF_MATERIAL_EXPANDED_EGG_LEATHERY_HARD_MATERIALS]
	[ADD_MATERIAL:EGGSHELL:DF_MATERIAL_EXPANDED_EGGSHELL_LEATHERY_HARD_TEMPLATE]
	[ADD_MATERIAL:EGG_WHITE:DF_MATERIAL_EXPANDED_EGG_WHITE_HARD_TEMPLATE]
	[ADD_MATERIAL:EGG_YOLK:DF_MATERIAL_EXPANDED_EGG_YOLK_HARD_TEMPLATE]

[BODY_DETAIL_PLAN:DF_MATERIAL_EXPANDED_EGG_LEATHERY_LIGHT_MATERIALS]
	[ADD_MATERIAL:EGGSHELL:DF_MATERIAL_EXPANDED_EGGSHELL_LEATHERY_LIGHT_TEMPLATE]
	[ADD_MATERIAL:EGG_WHITE:DF_MATERIAL_EXPANDED_EGG_WHITE_LIGHT_TEMPLATE]
	[ADD_MATERIAL:EGG_YOLK:DF_MATERIAL_EXPANDED_EGG_YOLK_LIGHT_TEMPLATE]

[BODY_DETAIL_PLAN:DF_MATERIAL_EXPANDED_EGG_LEATHERY_MEDIUM_MATERIALS]
	[ADD_MATERIAL:EGGSHELL:DF_MATERIAL_EXPANDED_EGGSHELL_LEATHERY_MEDIUM_TEMPLATE]
	[ADD_MATERIAL:EGG_WHITE:DF_MATERIAL_EXPANDED_EGG_WHITE_MEDIUM_TEMPLATE]
	[ADD_MATERIAL:EGG_YOLK:DF_MATERIAL_EXPANDED_EGG_YOLK_MEDIUM_TEMPLATE]

[BODY_DETAIL_PLAN:DF_MATERIAL_EXPANDED_EGG_LEATHERY_UNIQUE_MATERIALS]
	[ADD_MATERIAL:EGGSHELL:DF_MATERIAL_EXPANDED_EGGSHELL_LEATHERY_UNIQUE_TEMPLATE]
	[ADD_MATERIAL:EGG_WHITE:DF_MATERIAL_EXPANDED_EGG_WHITE_UNIQUE_TEMPLATE]
	[ADD_MATERIAL:EGG_YOLK:DF_MATERIAL_EXPANDED_EGG_YOLK_UNIQUE_TEMPLATE]

[BODY_DETAIL_PLAN:DF_MATERIAL_EXPANDED_EGG_ARCHAIC_MATERIALS]
	[ADD_MATERIAL:EGGSHELL:DF_MATERIAL_EXPANDED_EGGSHELL_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:EGG_WHITE:DF_MATERIAL_EXPANDED_EGG_WHITE_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:EGG_YOLK:DF_MATERIAL_EXPANDED_EGG_YOLK_ARCHAIC_TEMPLATE]

[BODY_DETAIL_PLAN:DF_MATERIAL_EXPANDED_EGG_HARD_MATERIALS]
	[ADD_MATERIAL:EGGSHELL:DF_MATERIAL_EXPANDED_EGGSHELL_HARD_TEMPLATE]
	[ADD_MATERIAL:EGG_WHITE:DF_MATERIAL_EXPANDED_EGG_WHITE_HARD_TEMPLATE]
	[ADD_MATERIAL:EGG_YOLK:DF_MATERIAL_EXPANDED_EGG_YOLK_HARD_TEMPLATE]

[BODY_DETAIL_PLAN:DF_MATERIAL_EXPANDED_EGG_LIGHT_MATERIALS]
	[ADD_MATERIAL:EGGSHELL:DF_MATERIAL_EXPANDED_EGGSHELL_LIGHT_TEMPLATE]
	[ADD_MATERIAL:EGG_WHITE:DF_MATERIAL_EXPANDED_EGG_WHITE_LIGHT_TEMPLATE]
	[ADD_MATERIAL:EGG_YOLK:DF_MATERIAL_EXPANDED_EGG_YOLK_LIGHT_TEMPLATE]

[BODY_DETAIL_PLAN:DF_MATERIAL_EXPANDED_EGG_MEDIUM_MATERIALS]
	[ADD_MATERIAL:EGGSHELL:DF_MATERIAL_EXPANDED_EGGSHELL_MEDIUM_TEMPLATE]
	[ADD_MATERIAL:EGG_WHITE:DF_MATERIAL_EXPANDED_EGG_WHITE_MEDIUM_TEMPLATE]
	[ADD_MATERIAL:EGG_YOLK:DF_MATERIAL_EXPANDED_EGG_YOLK_MEDIUM_TEMPLATE]

[BODY_DETAIL_PLAN:DF_MATERIAL_EXPANDED_EGG_UNIQUE_MATERIALS]
	[ADD_MATERIAL:EGGSHELL:DF_MATERIAL_EXPANDED_EGGSHELL_UNIQUE_TEMPLATE]
	[ADD_MATERIAL:EGG_WHITE:DF_MATERIAL_EXPANDED_EGG_WHITE_UNIQUE_TEMPLATE]
	[ADD_MATERIAL:EGG_YOLK:DF_MATERIAL_EXPANDED_EGG_YOLK_UNIQUE_TEMPLATE]

-Chitin

[BODY_DETAIL_PLAN:DF_MATERIAL_EXPANDED_CHITIN_ARCHAIC]
	[ADD_MATERIAL:CHITIN:DF_MATERIAL_EXPANDED_CHITIN_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:FAT:DF_MATERIAL_EXPANDED_FAT_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:MUSCLE:DF_MATERIAL_EXPANDED_MUSCLE_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:EYE:DF_MATERIAL_EXPANDED_EYE_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:NERVE:DF_MATERIAL_EXPANDED_NERVE_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:BRAIN:DF_MATERIAL_EXPANDED_BRAIN_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:LUNG:DF_MATERIAL_EXPANDED_LUNG_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:HEART:DF_MATERIAL_EXPANDED_HEART_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:LIVER:DF_MATERIAL_EXPANDED_LIVER_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:GUT:DF_MATERIAL_EXPANDED_GUT_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:STOMACH:DF_MATERIAL_EXPANDED_STOMACH_ARCHAIC_TEMPLATE]
	[ADD_MATERIAL:GIZZARD:DF_MATERIAL_EXPANDED_GIZZARD_ARCHAIC_TEMPLATE]
